Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
712.3789308	-2.043550253	7.946425438	-2.811874866	0.023267873	0.131366208	-0.987716556
712.4419569	-9.987895012	18.13891411	-17.77876663	0.047100455	0.223246649	-1.025506496
712.5045409	-4.244367123	-15.23159313	-13.55159187	-0.02251083	0.250754565	-1.032752514
712.5666839	-10.55547714	14.73616982	1.784343958	-0.042315327	0.228364989	-1.019052744
712.6296378	-2.50817585	13.98236847	-7.91387701	-0.01561947	0.16658318	-0.990747511
712.6926442	-8.751739502	13.75382996	0.177457586	-0.016205838	0.144882053	-1.009650946
712.7535086	-4.52132988	-18.12203407	5.833934307	0.086886406	0.132685691	-0.968265057
712.8166512	-18.10937691	-7.404314995	26.04432869	0.016325686	0.013908616	-0.926628888
712.8815757	-10.2085495	-10.57056332	-13.31529999	-0.035887741	-0.007683799	-0.9802953
712.9412862	-11.10294056	-7.673194885	-11.56730747	-0.038895398	0.01599323	-1.036028981
713.0087218	3.140406132	1.601599813	9.782188416	-0.037625726	0.025533976	-1.068716526
713.0661076	8.503293991	-4.728760242	-15.07643986	-0.080235533	4.00E-06	-1.030695915
713.1314604	11.64758205	-1.618830323	10.93601036	-0.058457468	0.006806542	-1.036252856
713.1921882	23.04042625	5.360846996	9.535928726	-0.044205725	-0.045477659	-1.032264233
713.2557323	15.60340691	4.041730404	20.63005447	-0.081521064	-0.115436703	-0.998842299
713.3162363	9.243429184	11.37348461	0.582094669	-0.067240708	-0.155278221	-0.975743175
713.37938	16.30026054	19.24687958	-12.13892651	-0.022348352	-0.058329515	-1.028765202
713.4413292	13.64107418	0.206088051	-17.52089691	0.034668021	0.051695257	-0.963559866
713.5040703	1.495123863	15.69927979	6.805255413	0.169627756	0.127338186	-0.975046277
713.5663208	0.933044136	1.811421633	9.587209702	0.183516935	0.065258786	-0.999458492
713.6302615	-20.39992905	6.573523045	4.826068878	0.108250342	0.036102928	-1.007243872
713.6912688	9.265835762	-2.505767107	7.22518158	0.096905529	0.025928475	-1.049408913
713.7552811	-15.60769749	9.77504921	-4.373089314	0.022579418	0.037417136	-0.974081635
713.8161538	3.00488019	-32.6375351	15.28783035	-0.042853534	0.03879267	-1.016150832
713.8790808	-1.593350768	-15.68310928	16.9637394	-0.120667949	0.047812033	-1.030455589
713.9416936	-0.070982583	-17.7889061	-10.63316822	-0.217661321	0.026059613	-1.050753355
714.0041015	6.666199207	11.33337975	-3.08516717	-0.156817347	0.045204766	-1.052023649
714.0676313	0.359084189	15.5069561	-8.433966637	-0.159872487	0.053356282	-1.017594814
714.1288775	9.635533333	-12.30095291	1.590031266	-0.113995507	0.03557631	-1.010644674
714.1944316	-4.309894562	26.69843674	-13.54677773	-0.031778652	0.048135236	-0.930297434
714.254486	-1.224665046	-4.715001106	-2.542405367	-0.000453247	0.024902454	-0.947712958
714.3162623	-2.140910149	0.551409662	-1.090769768	0.008105951	0.023347151	-0.911982954
714.3798004	-26.18987656	-27.19783974	6.52558136	-0.001069414	0.010807682	-0.936459601
714.442688	-17.19896698	-46.48443604	21.05358124	0.029035002	0.010474123	-1.017250538
714.5036649	-9.350036621	-30.29880905	-5.303552628	0.0413353	0.027396623	-1.027457237
714.5666496	-6.944729805	-26.04932404	-8.854674339	0.0387609	0.029672168	-1.055493712
714.6290251	9.979944229	-17.14233017	8.607432365	0.158077776	0.073641531	-1.058592558
714.691752	14.88249588	30.60628128	16.15897369	0.125795305	0.092514791	-1.047174573
714.7546787	28.1663475	58.45708084	3.918016672	0.107073404	0.034900557	-1.039049387
714.8164937	9.077123642	56.20502853	-5.906258106	0.013983243	0.030663617	-0.986799955
714.8793986	2.092810392	19.35560989	29.36781883	-0.012063237	0.032489806	-0.968245327
714.942296	-20.55884171	-14.25860882	5.775718689	-0.142228723	0.030676363	-0.961051106
715.0055179	-8.239492416	11.33195019	-22.57881737	-0.112431839	-0.006527845	-1.002215505
715.0661348	-19.54257202	-6.039295197	3.572938442	-0.023997081	0.034944732	-0.969039083
715.1320806	-15.06785297	1.898829699	-13.97669029	-0.017808238	0.046308409	-0.884399772
715.1920607	20.34928322	19.37945175	-23.57157898	0.004456033	0.067514181	-0.944792509
715.2553624	-3.274855137	-14.89612103	-24.31881332	-0.002155411	0.085109837	-0.96381855
715.3171691	7.712471962	-16.90952301	-33.42747879	0.014695617	0.105655842	-0.99226886
715.3801861	15.66127777	-21.10019684	-2.879257441	0.030819854	0.120221637	-1.027984142
715.4421326	31.1304493	-14.38125038	-16.53400421	0.039154299	0.057894316	-1.098450422
715.5048066	37.02542877	-10.09576797	0.74588871	-0.032821722	0.015653212	-1.04283917
715.5659043	-25.06708717	-31.59175301	4.553931713	-0.041035593	-0.035327032	-1.094835997
715.6289028	5.951398373	2.012138367	2.786162138	-0.0395093	-0.007554073	-1.091411114
715.6922348	13.08165836	-0.166988045	-11.58435631	-0.068097726	-0.018425032	-1.030493736
715.7548938	-4.700712204	-15.23030376	0.167596295	-0.068858303	-0.036758129	-0.990229845
715.8191101	14.81035709	37.57546997	-59.91969681	-0.08620932	-0.032684494	-1.007757306
715.8789205	-11.8020792	18.52554131	-7.474875927	-0.09319143	-0.052503139	-1.010544062
715.9417201	-31.65069008	-5.808358192	17.2705574	-0.125001714	-0.052281	-0.982986689
716.0049108	2.496711254	-0.914589643	0.165017381	-0.003153865	-0.013510117	-1.004669189
716.0687296	4.776643276	-3.212297678	-2.050127029	-0.029063059	-0.015332676	-1.009940982
716.1307534	-5.66912365	-2.359492302	26.59459305	-0.026202958	-0.020153176	-1.021917582
